,answer
205, 자동으로 매매는 불가능합니다. 예약주문을 통해서 매매하시는 방법밖엔 없습니다 그게 아니라면 직접 정규장에 매매를 하셔야 합니다.
206,공모주 매도 후 2영업일 이후에 매도한 금액이 출금 가능합니다. 
207,"비례배정은 몇 천 만원 넣어도 사실 많이 못 받고, 몇 억은 넣어야 그래도 어느 정도 배정 받습니다."
208, 공모주를 청약하시려면 주관하는 증권사에서만 청약이 가능합니다. 해당 공모주를 주관하지 않는 증권사에서 청약은 불가능합니다.
209,카카오뱅크와 연동 되어있는 증권사에서 20일 제한 없이 주식 계좌를 개설하실 수 있습니다.
210,"균등배정이 있지만, 경쟁률이 높으면 1주도 배정되지 않을 수도 있습니다."
211,청약 증거금은 청약 신청할 때 내는 일종의 보증금입니다.
212,균등은 균등수량보다 신청자수가 적어야 모두 1주라도 됩니. 균등배정도 못받는 사람이 있다는 것입니다. 
213,"일단 청약을 완료했다면, 공동인증서가 폐기되어도 기존 청약 건은 유효하게 유지됩니다."
214,1주 청약은 불가능합니다.
215,"청약 신청 하실 때 비례 배정은 함께 신청되며, 따로 별도로 신청하지는 않습니다."
216,공모주는 상장일에 시작하는 시초가가 범위가 정해져있습니다
217,공모가보다 상장가가 낮게 형성되는 경우도 종종 있습니다. 
218,공모주는 상장 예정일 오전 9시에 상장됩니다.
219,일반적으로 공모주 청약은 10시부터 16시까지 가능합니다.
220,청약 경쟁률은 청약하셨던 증권사에서 실시간으로 확인 가능합니다. 다만 경쟁률에 따른 공모주 배정은 보통 청약이 다 종료되고 익일 쯤 안내해드립니다.
221,공보주를 청약 하실 때에는 증거금 50%가 필요합니다. 
222,"청약 수수료는 주식을 배정받지 못하면 내지 않습니다. 배정받은 경우, 우대 등급이나 규정에 따라서 낼 수도 안 낼수도 있습니다."
223,"계좌 개설과 신용과는 관계가 없습니다. 증권사별로 공모 가능한 게 다르니, 공모주 청약을 하고 싶은 주식을 주관하는 증권사의 계좌를 만들면 됩니다."
224,"공모주때문에 증권사마다 계좌 개설 많이 합니다. 그런데 한 군데를 만들면, 20일동안 다른 계좌를 만들 수 없기 때문에 한꺼번에 많이 만들 수 없습니다."
225,증권사 계좌 개설을 많이 한다고해서 개인 신용에는 전혀 문제가 없습니다.
226,계좌 개설과 신용은 전혀 상관없습니다.
227,비례 청약이라고 따로 있는게 아닙니다. 청약하시면 균등 비례 같이 청약이 들어갑니다.
228,공모주를 신청하시면 자동으로 비례배정과 균등배정이 적용됩니다.
229,증권 계좌를 2개 연속으로 만드실 수는 없습니다. 증권 계좌를 만들고 다음 증권 계좌는 20영업일 후에 만드실 수 있기 때문에 경쟁률이 낮은 곳에 계좌를 만드시는게 청약에 유리합니다.
230,국내 주식은 매도 후 2영업일 후에 매도하신 금액만큼 출금 가능합니다.
231,증권 계좌를 2개 연속으로 만드실 수는 없습니다.
232,휴일은 제외한 영업일로 2일 지나야해서 연휴 지난 뒤에 이체가능할 것으로 보입니다.
233,주식은 매도 후 2영업일 후에 실현수익만큼 출금가능합니다.
234,"주식결제는 2영업일이 걸립니다. 위에서 영업일이란건 증권사가 영업하는 날만 따지게됩니다. 토요일, 일요일, 공휴일 등은 제외됩니다. 예를 들어, 월요일에 매도하셨다면 수요일에 이체가능합니다. 지난주 금요일에 매도했다면 토요일과 일요일은 제외되니 이번주 화요일에 결제처리된 뒤 화요일에 이체가능합니다. 추가로 계좌가 중계형계좌일경우 입금한 투자금까지만 이체가능하고, 수익금은 이체가 불가능합니다. 계좌이고 수익금까지 전부 이체하시려면 계좌를 해지하셔야합니다. 해지는 콜센터를 통해 하셔야합니다. 계좌를 해지하더라도, 일반 계좌로 변경될 뿐 계좌가 없어지는건 아닙니다."
235,매도 후 실현수익은 영업일 기준 2일 후에 출금 가능합니다.
236,주식 매도 후 출금 가능 금액이 되려면 2영업일이 필요합니다.
237,매도하시면 해당 계좌로 돈이 들어옵니다.
238,청약환불금은 본인 명의의 계좌만 가능합니다.
239,공모가를 배정받는 것을 매수할때 최종 경쟁률로 받습니다. 
240,공모주 청약 기간에는 신청만 하는것이지 해당 공모주를 매수 할 수 없습니다.
241,자동으로 매도할 수 있는 방법은 없습니다.
242,공모주 배정 수량은 청약 경쟁률에 따라서 다릅니다. 균등배정으로 하시려면 최소 10주를 청약하시는게 유리합니다.
243,"공모주 배정 수량은 청약 경쟁률에 따라서 다릅니다. 아주 낮은 경쟁률이라면 5~6주 정도, 높은 경쟁률이면 1~2주 정도 받으신다고 보시면 됩니다."
244,주식이체와 미수 동결 계좌 지정과는 무관하기 때문에 주식 이체하는데 제약은 없습니다.
245,대형주라면 흥행하지 않더라도 거의 확정적으로 수익은 챙기실 수 있습니다.
246,"공모주의 특성상 상장 당일의 경우는 청약에 참여하지 못한 분들은 신규로 매수하려는 심리가 있고, 반대로 청약에 참여해 주식을 배정받은 분들은 매도하여 수익을 내려 하기 때문에 거래가 활발히 이뤄지고 변동성이 심할 수 밖에 없습니다."
247,공모주는 따상은 못해도 상장당일 대부분 오르기 때무에 무조건 청약하시고요. 상장 당일날 미련없이 매도하시는게 이익입니다.
248,주식이 배정된다면 청약한 계좌로 들어옵니다.
249,"공모주 청약은 당연히 학생도 가능 합니다. 공모주 청약 순서를 알려 드리자면, 계좌개설 -> 청약 증거금 입금 -> 공모주 청약 배정 -> 매도 순으로 진행됩니다. 전체적인 과정을 참고하시면 되겠습니다."
250,공모주 청약을 위해서는 우선 청약 증권사를 선택하셔야 합니다. 기업의 공모주 청약을 진행하는 다수의 청약 주관사가 존재하는데요. 개인은 해당 증권사 중에서 청약을 진행할 증권사를 선택하게 됩니다.
251,공모주 청약이란 주식을 발행하여 주식시장에 상장할 때 청약을 받아서 희망자에게 공모가격 에 주식을 미리 판매하는 제도를 이야기 합니다 절차는 매우 간단합니다 1 청약 공모 주관 증권사의 증권계좌를 개설한다 라는 종목이 공모를 한다고 한다면 모든 증권사에서 청약이 가능한 것이 아니라 특정 주관 및 제휴 일부 증권사에서만 청약공모가 가능합니다 따라서 해당 종목을 청약할 수 있는 증권사 계좌를 미리 만드시기 바랍니다 2 공모주 청약일에 공모주 신청을 한다 해당 증권사의 앱에 보시면 공모주 청약 메뉴가 있습니다 해당 종목의 청약일 및 시간에 맞춰서 공모주를 원하시는 수량만큼 신청하시면 됩니다 이때 신청 수량은 10주 단위가 기본이며 일반 공모주는 공모가격의 절반인 50 스팩 공모주는 공모가격 100 가 있으셔야 합니다 이 금액을 청약 전에 미리 증권계좌에 넣어놓으셔야 합니다 예를들어 공모가격이 1만원이고 20주를 신청하신다면 일반 공모주라면 10만원 스팩 공모주라면 20만원이 있어야 합니다 3 청약결과발표일에 결과를 확인한다 청약 경쟁률 등에 따라서 신청한 물량을 전부 배정받을 수도 있으며 일부만 받거나 혹은 못받으실수도 있습니다 또한 배정받지 못한 부분에 대해서는 공모금이 증권계좌로 환불됩니다 4 공모주 배정 및 거래일에 거래를 한다 공모주 배정일에 보시면 증권계좌에 주식이 들어온 것을 확인하실 수 있습니
252,미래에셋증권은 청약 당일 개설된 계좌도 공모주 청약이 가능 합니다. 공모주 청약을 하시려면 앱 실행후 공모주 검색 -> 청약 종목 선택 -> 청약 수량을 입력해서 공모주 청약을 진행 하시면 됩니다.
253,"비상장주식이 상장주식이 되기 위한 절차들이 몇 가지 있습니다. 기업공개절차를 통해 주관사도 선정을 하고 여러가지 자문을 받아서 상장심사청구를 하게 됩니다. 상장심사에 통과하게 되면 상장이 승인됩니다. 상장이 승인되면 기관들의 수요예측결과를 통해 공모가가 정해지고 청약일정에 따라 일반 청약자들이 공모를 하게 됩니다. 이 경우를 흔히 공모주 청약을 한다고 합니다. 청약이 끝나고 일반배정이 끝나면 보통 1주일 내에 증시에 입성하는 상장을 하게 되고, 그때부터는 상장주식이 되는겁니다. 따라서, 공모주 청약은 비상장주식이 상장되기 위한 전체적인 절차라고 생각하시면 될 것 같습니다."
254,"공모주는 일반적으로 기업공개라고 부르며 비상장회사가 상장을 하기 위해 공개적으로 기업을 알리는 절차를 말합니다. 비상장주식이 상장주식이 되기 위한 절차들이 몇 가지 있습니다. 기업공개절차를 통해 주관사도 선정을 하고 여러가지 자문을 받아서 상장심사청구를 하게 됩니다. 상장심사에 통과하게 되면 상장이 승인됩니다. 상장이 승인되면 기관들의 수요예측결과를 통해 공모가가 정해지고 청약일정에 따라 일반 청약자들이 공모를 하게 됩니다. 이 경우를 흔히 공모주 청약을 한다고 합니다. 청약이 끝나고 일반배정이 끝나면 보통 1주일 내에 증시에 입성하는 상장을 하게 되고, 그때부터는 상장주식이 되는겁니다. 따라서, 공모주 청약은 비상장주식이 상장되기 위한 전체적인 절차라고 생각하시면 될 것 같습니다."
255,공모주 청약을 위해서는 우선 청약 증권사를 선택하셔야 합니다. 기업의 공모주 청약을 진행하는 다수의 청약 주관사가 존재합니다. 개인은 해당 증권사 중에서 청약을 진행할 증권사를 선택하게 됩니다. 2021년부터 중복 청약은 불가하게 되었으니 한 곳만 선택하셔야 합니다. 기존 증권사 이용자를 제외하고 계좌가 없는 신규 회원이라면 청약을 진행하기 전 미리 해당 증권사의 계좌를 개설하셔야 합니다.
256,공모주 청약 주관회사에 증권계좌가 있어야 청약하실 수 있습니다.
257,배당금은 해당 주식의 배당락일 전까지 보유하시면 받으실 수 있습니다.
258,모든 중권사는 계좌 없이 공모주 청약 불가능합니다.
259,모든 공모주는 계좌개설을 하셔야 청약이 가능합니다. 청약하실 때엔 주관사인지 아닌지 잘 보시고 계좌 개설을 하시면 됩니다.
260,"공모주 청약일정은 네이버에서 '공모주 청약' 이라고 검색하시면 일정이 바로 나옵니다. 38커뮤니케이션 같은 사이트에서도 쉽게 볼수 있고, 보통 블로거들이 매월 공모주 청약일정을 포스팅 하는경우가 많으니 검색해서 보셔도 됩니다."
261,공모주 일정은 38커뮤니티 사이트에서 확인 가능합니다.
262,공모주는 주식거래 가능한 시장에 나오기전에 적정 공모가격으로 신청을 받아서 그 경쟁률에 따라서 배정을 하고 배정받은 주식을 거래가능한 상장일에 팔거나 사거나 하는 것으로 수익을 내는 투자방법입니다. 주식거래에 비해서 주가에 대한 기대감과 어느정도 수익측정에 대해안정감이 있는 투자방법이기는 하지만 모든 공모주가 수익을 주는것이 아니고상장일에 마이너스는 물론 이후까지도 공모가 아래인 종목들도 다수 있습니다. 신청하기 전에 기관들로부터 그 종목에 대한 수요를 미리 조사하는것을 수요예측이라고 하는데 수요예측에서 기관의 경쟁률이 높고 일정기간 팔지 않겠다는 의무보유확약비율이 높은것 위주로만 처음에는 시도하셔야 합니다. 수요결과 좋지 않아도 가끔은 의외의 수익을 주는 경우가 가끔은 있지만 그런 종목은 공모주 몇달 이상은 한 뒤에 시도해보세요. 공모주일정은 네이버와 전문사이트등에서 확인하고 그 곳에서 수요예측결과도 나옵니다.
